question,question_sub,answer,answer_sub,ef_factor,category_id,created_at,modified_at
就任,しゅうにん,"취임, 취직","inauguration, assumption of office",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
周辺,しゅうへん,주변,"circumference, peripheral",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
重役,じゅうやく,"중역, 최고집행부, 최고 경영 간부","director, high executive",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
終了,しゅうりょう,종료,"end, close, termination",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
重量,じゅうりょう,"중량, 무게, 중량블록",heavyweight,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
重力,じゅうりょく,"중력, 중력 세기, 중력인력",gravity,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
熟語,じゅくご,숙어,"idiom, kanji compound",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
祝日,しゅくじつ,"명절, 축일",national holiday,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
縮小,しゅくしょう,축소,"reduction, curtailment",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
受験,じゅけん,수험,taking an examination,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
主語,しゅご,주어,(gram) subject,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
主人,しゅじん,주인,(one's own) husband,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
出勤,しゅっきん,출근,"going to work, at work",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
述語,じゅつご,술어,predicate,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
出張,しゅっちょう,출장,"official tour, business trip",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
寿命,じゅみょう,수명,life span,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
主役,しゅやく,"주역, 주도적 역할",leading part,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
受話器,じゅわき,"수화기, 핸드 셋트, 전화 이어폰",(telephone) receiver,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
循環,じゅんかん,"순환, 램어라운드","circulation, rotation, cycle",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
巡査,じゅんさ,"순경, 경찰관",policeman,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
順々,じゅんじゅん,"차례차례, 차차, 차례로","in order, in turn",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
順序,じゅんじょ,"순서, 연속 주문, 순차 명령","order, sequence, procedure",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
純情,じゅんじょう,순정,pure heart,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
純粋,じゅんすい,순수,"pure, genuine, unmixed",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
初～,しょ～,"처음, 최초",first ~,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
諸～,しょ～,"제, 여러",various ~,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
～所,～しょ,"데, 곳",place,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
女～,じょ～,여자,things done by women,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
～女,～じょ,여자,count for sisters,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
省～,しょう～,"상, 소, 증",economizing ~,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
～省,～しょう,"상, 소, 증",kind of ministry,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
～商,～しょう,상,"merchant, business",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
～勝,～しょう,"상, 소, 증",count for victory,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
～条,～じょう,조목,counter for article,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
～場,～じょう,"장소, 장, 터","kind of field, ground",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
～畳,～じょう,"장, 다다미","count for tatami, mat",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
消化,しょうか,"소화, 소화를 돕는, 소화력이 있는",digestion,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
小学生,しょうがくせい,"초등학생, 초딩, 소학생",elementary school pupil,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
しょうがない,しょうがない,"어쩔 수 없다, 할 수 없다, 도리가 없다",It is not worth ~,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
将棋,しょうぎ,장기,Japanese chess,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
蒸気,じょうき,증기,"steam, vapor",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
定規,じょうぎ,"자, 눈금을 매긴 자, 철도용 곡선자",(measuring) ruler,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
上級,じょうきゅう,상급,"advanced level, high grade, senior",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
商業,しょうぎょう,"상업, 중상주의의, 영리사업","commerce, trade, business",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
消極的,しょうきょくてき,소극적,passive,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
賞金,しょうきん,상금,"prize, monetary award",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
上下,じょうげ,"상하, 위아래","high and low, up and down",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
障子,しょうじ,"장지, 이중창, 장지문",paper sliding door,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
商社,しょうしゃ,상사,trading company,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
乗車,じょうしゃ,승차,"taking a train, entraining",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
上旬,じょうじゅん,상순,first 10 days of month,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
生ずる,しょうずる,"돋아 나오다, 생기다, 나다","to cause, to arise, to be generated",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
小数,しょうすう,"소수, 십진 소수, 십진 분수","fraction (part of), decimal",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
商店,しょうてん,상점,"shop, business firm",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
焦点,しょうてん,초점,"focus, point",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
消毒,しょうどく,"소독, 추려내기, 기밀자료삭제",disinfection,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
勝敗,しょうはい,승패,"victory or defeat, issue (of battle)",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
蒸発,じょうはつ,증발,evaporation; unexplained disappearance,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
上品,じょうひん,품위가 있음,"refined, elegant, well-mannered",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
勝負,しょうぶ,승부,"victory or defeat, game",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
小便,しょうべん,"소변, 오줌","(col) urine, piss",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
消防署,しょうぼうしょ,"소방서, 파이어 스테이션, 소방대",fire station,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
正味,しょうみ,정미,net (weight),2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
正面,しょうめん,"정면, 앞면부분",front,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
消耗,しょうもう,"소모, 타베스","exhaustion, consumption",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
初級,しょきゅう,초급,elementary level,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
助教授,じょきょうじゅ,"조교수, 부교수",assistant professor,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
～色,～しょく,"색, 색깔",kind of color,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
食塩,しょくえん,식염,table salt,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
職人,しょくにん,"직인, 직공","artisan, craftsman",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
職場,しょくば,"직장, 노역장",workplace,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
初旬,しょじゅん,초순,first 10 days of the month,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
書籍,しょせき,"서적, 비블리오","book, publication",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
食器,しょっき,"식기, 은식기류, 식탁용유리",tableware,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
ショップ,ショップ,숍,a shop,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
書店,しょてん,서점,bookshop,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
書道,しょどう,서도,calligraphy,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
初歩,しょほ,초보,"elements, rudiments",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
白髪,しらが,"백발, 흰머리","white or grey hair, trendy hair bleaching",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
シリーズ,シリーズ,시리즈,series,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
私立,しりつ,사립,private (establishment),2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
資料,しりょう,"자료, 테크니컬노트, 기술 주기","materials, data",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
汁,しる,"국물, 즙, 국","juice, soup",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
素人,しろうと,"초심자, 풋내기, 아마추어","layman, amateur, novice",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
しわ (かおの～),しわ (かおの～),"주름, 주름살","wrinkles, creases",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
芯,しん,"심, 심지, 싹","core, heart, wick",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
新幹線,しんかんせん,신칸센,"Shinkansen, ""Bullet Train""",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
真空,しんくう,진공,vacuum,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
人事,じんじ,"인사, 인사행정, 인간문제","human resources, personnel management",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
信ずる,しんずる,믿다,to believe,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
心身,しんしん,심신,mind and body,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
申請,しんせい,신청,"application, request, petition",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
人造,じんぞう,인조,"man-made, synthetic, artificial",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
寝台,しんだい,침대,bed,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
診断,しんだん,진단,diagnosis,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
侵入,しんにゅう,"침입, 끼어들기 받음, 인입","invasion, raid, trespass",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
人文科学,じんぶんかがく,"인문과학, 인문학","social sciences, humanities",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
人命,じんめい,"인명, 희생자수",(human) life,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
深夜,しんや,"심야, 한밤중",late at night,2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
森林,しんりん,삼림,"forest, woods",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
親類,しんるい,"친척, 일가",relative(s) (same as 親戚 (しんせき)),2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
針路,しんろ,침로,"course, direction",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
神話,しんわ,신화,"myth, legend",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
水産,すいさん,수산,"marine products, fisheries",2.5,9,2026-02-03 15:31:07,2026-02-03 15:31:07
