question,question_sub,answer,answer_sub,ef_factor,category_id,created_at,modified_at
作法,さほう,"예절, 작법, 관습","manners, etiquette, propriety",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
様々,さまざま,"여러 가지, 갖가지","varied, various",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
冷ます,さます,식히다,"to cool, to let cool",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
覚ます,さます,"깨다, 깨우다",to awaken,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
冷める,さめる,식다,"to become cool, to wear off",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
覚める,さめる,"깨다, 깨어나다","to wake, to wake up",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
左右,さゆう,"좌우, 하여간, 어쨌든",left and right; influence,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
皿,さら,접시,"plate, dish",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
更に,さらに,"더, 더욱, 더욱더","furthermore, moreover",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
去る,さる,"경과하다, 멀리 하다, 떠나다","to leave, to go away",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
猿,さる,원숭이,monkey,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
騒ぎ,さわぎ,"소란, 소동","uproar, disturbance",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
参加,さんか,"참가, 참여, 노동자참가",participation,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
参考,さんこう,참고,"reference, consultation",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
賛成,さんせい,찬성,"approval, agreement",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
酸性,さんせい,산성,acidity,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
酸素,さんそ,"산소, 산소 노출, 산소 전극",oxygen,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
氏,し,성,"family name, lineage",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
詩,し,시,poem; poetry,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
幸せ,しあわせ,행복,"happiness, blessing",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
ジーンズ,ジーンズ,청바지,jeans,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
ジェット機,ジェットき,제트기,jet plane,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
四角,しかく,"사각, 포오스퀘어, 정방형",square,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
直に,じかに,"직접, 곧, 직접적으로","immediately, readily, directly",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
しかも,しかも,"게다가, 그럼에도 불구하고, 더욱이","moreover, furthermore, besides, plus",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
四季,しき,"사계, 사계절, 사철",four seasons,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
直,じき,"직접, 곧, 바로","immediately, soon, shortly",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
時期,じき,시기,"time, season, period",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
支給,しきゅう,지급,"payment, allowance",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
至急,しきゅう,"지급, 매우 급함","urgent, pressing",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
しきりに,しきりに,"자꾸만, 자꾸","frequently, repeatedly, eagerly",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
刺激,しげき,자극,"stimulus, impetus, incentive",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
資源,しげん,"자원, 원료품",resources,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
事件,じけん,"사건, 일","event, affair, incident",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
時刻,じこく,"시간, 시각, 딤에 오","time, hour",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
自殺,じさつ,"자백, 자살",suicide,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
事実,じじつ,사실,"fact, truth, reality",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
支出,ししゅつ,"지출, 토리를 푼다, 선박입체금","expenditure, expenses",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
事情,じじょう,"사정, 형편","circumstances, situation, reasons",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
詩人,しじん,시인,poet,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
自身,じしん,자신,oneself,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
沈む,しずむ,"가라앉다, 지다, 잠기다",to sink; to feel depressed,2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
自然,しぜん,"자연, 야성, 야성화한","nature, spontaneous",2.5,10,2026-02-03 15:31:08,2026-02-03 15:31:08
